ncmoe,loaded,n_ctx,vram_mib,rss_mib,prompt_n,prompt_tps,gen_n,gen_tps
0,yes,46848,20476,1111,2457,2797.6,6144,122.8
1,yes,58880,20481,1521,2457,2127.4,6144,97.2
2,yes,78592,20458,2045,2457,1635.0,6144,92.5
3,yes,98816,20403,2537,2457,1366.5,6144,88.8
4,yes,115456,20424,3028,2457,1138.9,6144,89.2
5,yes,134400,20449,3442,2457,1044.1,6144,81.3
6,yes,151040,20426,3862,2457,945.3,6144,76.3
7,yes,168960,20430,4284,2457,866.1,6144,72.7
8,yes,190976,20449,4780,2457,797.6,6144,76.1
9,yes,211968,20448,5264,2457,747.5,6144,70.1
10,yes,231680,20488,5688,2457,709.2,6144,67.4
11,yes,251648,20465,6180,2457,654.0,6144,66.1
12,yes,262144,20249,6661,2457,609.0,6144,67.3
13,yes,262144,19885,7059,2457,575.2,6144,62.4
14,yes,262144,19521,7462,2457,544.2,6144,61.1
15,yes,262144,19089,7934,2457,517.4,6144,59.3
16,yes,262144,18657,8408,2457,493.5,6144,60.8
17,yes,262144,18293,8802,2457,467.2,6144,57.4
18,yes,262144,17929,9206,2457,453.7,6144,56.0
19,yes,262144,17564,9604,2457,437.3,6144,54.5
20,yes,262144,17133,10085,2457,416.4,6144,54.9
21,yes,262144,16768,10477,2457,405.4,6144,52.9
22,yes,262144,16404,10881,2457,391.0,6144,51.4
23,yes,262144,16041,11282,2457,376.8,6144,50.4
24,yes,262144,15676,11692,2457,363.2,6144,50.2
25,yes,262144,15312,11915,2457,352.1,6144,48.3
26,yes,262144,14949,12319,2457,340.9,6144,46.9
27,yes,262144,14584,12722,2457,306.8,6144,42.9
28,yes,262144,14152,13196,2457,318.3,6144,44.9
29,yes,262144,13788,13591,2457,308.6,6144,43.4
30,yes,262144,13424,13994,2457,301.9,6144,42.4
31,yes,262144,13060,14397,2457,293.4,6144,41.6
32,yes,262144,12628,14871,2457,267.4,6144,38.6
33,yes,262144,12196,15334,2457,276.7,6144,40.3
34,yes,262144,11764,15803,2457,267.7,6144,38.9
35,yes,262144,11332,16341,2457,258.8,6144,38.6
36,yes,262144,10900,16815,2457,252.7,6144,37.5
37,yes,262144,10468,17277,2457,246.7,6144,36.5
38,yes,262144,10036,17748,2457,239.5,6144,34.0
39,yes,262144,9538,18286,2457,221.3,6144,30.8
40,yes,262144,9040,18826,2457,219.9,6144,31.2
