ncmoe,loaded,n_ctx,vram_mib,rss_mib,prompt_n,prompt_tps,gen_n,gen_tps
0,yes,44544,20429,1108,2457,2826.6,6144,123.0
1,yes,56576,20434,1519,2457,2117.3,6144,96.9
2,yes,78080,20448,2044,2457,1638.5,6144,92.0
3,yes,102144,20471,2541,2457,1371.5,6144,88.8
4,yes,118528,20487,3033,2457,1171.6,6144,88.9
5,yes,136192,20486,3443,2457,1047.9,6144,81.2
6,yes,154112,20489,3866,2457,957.9,6144,76.3
7,yes,171008,20472,4286,2457,861.6,6144,73.3
8,yes,191232,20454,4781,2457,799.3,6144,75.4
9,yes,213504,20479,5266,2457,755.0,6144,69.2
10,yes,229376,20441,5686,2457,711.0,6144,67.8
11,yes,251392,20460,6179,2457,655.9,6144,65.7
12,yes,262144,20249,6664,2457,610.6,6144,66.9
13,yes,262144,19885,7059,2457,577.4,6144,63.1
14,yes,262144,19521,7463,2457,548.6,6144,61.2
15,yes,262144,19089,7934,2457,519.5,6144,59.9
16,yes,262144,18657,8408,2457,493.0,6144,61.0
17,yes,262144,18293,8799,2457,471.7,6144,57.6
18,yes,262144,17929,9206,2457,454.9,6144,56.1
19,yes,262144,17564,9610,2457,437.8,6144,54.5
20,yes,262144,17133,10083,2457,418.0,6144,55.1
21,yes,262144,16768,10478,2457,406.0,6144,51.9
22,yes,262144,16404,10883,2457,393.3,6144,50.0
23,yes,262144,16041,11285,2457,378.1,6144,50.3
24,yes,262144,15676,11690,2457,364.6,6144,50.0
25,yes,262144,15312,11916,2457,353.0,6144,48.4
26,yes,262144,14949,12319,2457,342.4,6144,47.1
27,yes,262144,14584,12722,2457,308.3,6144,43.4
28,yes,262144,14152,13198,2457,319.8,6144,44.4
29,yes,262144,13788,13588,2457,309.2,6144,43.2
30,yes,262144,13424,13994,2457,303.0,6144,42.8
31,yes,262144,13060,14397,2457,294.6,6144,41.1
32,yes,262144,12628,14871,2457,268.4,6144,38.9
33,yes,262144,12196,15334,2457,276.1,6144,40.4
34,yes,262144,11764,15805,2457,270.5,6144,39.3
35,yes,262144,11332,16341,2457,260.7,6144,38.3
36,yes,262144,10900,16815,2457,253.0,6144,37.6
37,yes,262144,10468,17277,2457,245.5,6144,36.8
38,yes,262144,10036,17750,2457,240.1,6144,36.1
39,yes,262144,9538,18286,2457,222.3,6144,33.3
40,yes,262144,9040,18825,2457,226.1,6144,34.1
