ncmoe,loaded,n_ctx,vram_mib,rss_mib,prompt_n,prompt_tps,gen_n,gen_tps
0,yes,52224,20586,1116,2457,2810.8,6144,123.5
1,yes,62208,20549,1525,2457,2126.5,6144,98.3
2,yes,83712,20563,2050,2457,1638.9,6144,92.9
3,yes,104448,20519,2542,2457,1365.8,6144,88.8
4,yes,120576,20529,3033,2457,1168.5,6144,89.6
5,yes,138496,20533,3446,2457,1046.6,6144,81.8
6,yes,156160,20531,3868,2457,950.3,6144,76.6
7,yes,175360,20561,4291,2457,872.2,6144,73.5
8,yes,196608,20565,4786,2457,803.4,6144,74.7
9,yes,215296,20516,5268,2457,751.0,6144,70.2
10,yes,235520,20567,5692,2457,707.2,6144,67.6
11,yes,255232,20539,6183,2457,651.4,6144,66.5
12,yes,262144,20249,6664,2457,606.2,6144,67.9
13,yes,262144,19885,7058,2457,575.4,6144,63.4
14,yes,262144,19521,7462,2457,546.0,6144,61.1
15,yes,262144,19089,7934,2457,518.4,6144,60.1
16,yes,262144,18657,8408,2457,493.5,6144,60.8
17,yes,262144,18293,8797,2457,473.0,6144,57.8
18,yes,262144,17929,9206,2457,456.3,6144,56.8
19,yes,262144,17564,9610,2457,437.2,6144,54.5
20,yes,262144,17133,10083,2457,420.2,6144,55.5
21,yes,262144,16768,10478,2457,408.7,6144,52.9
22,yes,262144,16404,10881,2457,394.4,6144,52.0
23,yes,262144,16041,11285,2457,377.8,6144,50.9
24,yes,262144,15676,11690,2457,364.7,6144,50.4
25,yes,262144,15312,11915,2457,354.7,6144,48.4
26,yes,262144,14949,12319,2457,341.1,6144,47.0
27,yes,262144,14584,12722,2457,308.8,6144,43.4
28,yes,262144,14152,13196,2457,319.7,6144,44.9
29,yes,262144,13788,13587,2457,311.3,6144,43.4
30,yes,262144,13424,13994,2457,303.5,6144,42.5
31,yes,262144,13060,14398,2457,294.9,6144,41.7
32,yes,262144,12628,14871,2457,268.6,6144,38.9
33,yes,262144,12196,15334,2457,277.4,6144,40.0
34,yes,262144,11764,15805,2457,267.8,6144,39.2
35,yes,262144,11332,16341,2457,260.1,6144,38.5
36,yes,262144,10900,16815,2457,254.1,6144,37.4
37,yes,262144,10468,17277,2457,246.3,6144,36.8
38,yes,262144,10036,17748,2457,240.5,6144,35.5
39,yes,262144,9538,18286,2457,221.5,6144,32.9
40,yes,262144,9040,18825,2457,225.8,6144,34.4
