ncmoe,loaded,n_ctx,vram_mib,rss_mib,prompt_n,prompt_tps,gen_n,gen_tps
0,yes,51712,20576,1116,2457,2846.5,6144,123.7
40,yes,262144,9040,18826,2457,227.2,6144,33.8
20,yes,262144,17133,10083,2457,419.6,6144,55.2
10,yes,232192,20498,5689,2457,708.0,6144,67.8
5,yes,135680,20475,3443,2457,1049.1,6144,82.3
